run,bogo_ops,bogo_ops_per_sec
1,98751,9874.32
2,98546,8880.62
3,99544,9954.24
4,99807,9980.52
5,99293,8901.22
6,100328,10032.48
7,100444,10041.75
8,100066,10005.06
9,99532,8893.40
10,100142,10012.33
11,99723,9970.33
12,98552,8814.89
13,100934,10093.01
14,98938,9892.74
15,97748,8633.91
16,98688,9867.30
17,99469,9944.94
18,98225,8749.65
19,98809,9880.70
20,98938,9892.34
21,98407,9839.99
22,97669,8669.27
23,102181,10217.78
24,98179,9817.56
25,96555,8491.71
26,103549,10354.21
27,98411,9839.01
28,98272,8640.08
29,103517,10351.55
30,98451,9843.13
