run,time_sec,events_per_sec
1,10.0004s,1539.11
2,10.0005s,1534.08
3,10.0003s,1523.42
4,10.0006s,1525.78
5,10.0006s,1551.57
6,10.0002s,1554.72
7,10.0004s,1555.90
8,10.0004s,1559.09
9,10.0004s,1563.39
10,10.0007s,1551.04
11,10.0001s,1533.15
12,10.0003s,1538.21
13,10.0001s,1537.65
14,10.0001s,1559.33
15,10.0002s,1541.22
16,10.0006s,1527.18
17,10.0004s,1532.30
18,10.0005s,1514.67
19,10.0003s,1515.51
20,10.0003s,1565.22
21,10.0005s,1601.58
22,10.0003s,1568.62
23,10.0001s,1568.84
24,10.0004s,1562.90
25,10.0003s,1580.71
26,10.0002s,1570.13
27,10.0002s,1565.62
28,10.0005s,1592.17
29,10.0004s,1569.29
30,10.0003s,1565.51
