run,time_sec,events_per_sec
1,10.0005s,1545.57
2,10.0006s,1606.56
3,10.0004s,1578.59
4,10.0002s,1596.74
5,10.0004s,1628.59
6,10.0002s,1584.52
7,10.0001s,1574.14
8,10.0003s,1609.01
9,10.0005s,1587.88
10,10.0005s,1574.48
11,10.0002s,1615.22
12,10.0003s,1594.83
13,10.0003s,1559.72
14,10.0001s,1612.45
15,10.0004s,1603.29
16,10.0005s,1553.08
17,10.0006s,1606.76
18,10.0002s,1613.32
19,10.0003s,1569.01
20,10.0003s,1602.99
21,10.0004s,1595.77
22,10.0001s,1583.94
23,10.0005s,1561.79
24,10.0002s,1587.52
25,10.0006s,1538.67
26,10.0005s,1519.99
27,10.0005s,1613.38
28,10.0004s,1561.40
29,10.0007s,1524.56
30,10.0004s,1533.91
