run,bogo_ops,bogo_ops_per_sec
1,99293,9928.66
2,99155,9914.60
3,98984,8812.25
4,100098,10009.16
5,99655,9963.90
6,98916,8777.50
7,100737,10073.20
8,99350,9934.86
9,99785,8868.60
10,99641,9963.98
11,100430,10042.39
12,99396,8800.85
13,98356,9833.85
14,99443,9943.43
15,99397,8833.02
16,99635,9963.32
17,100175,10017.06
18,99622,8849.94
19,98547,9854.07
20,99022,9901.50
21,98677,8704.69
22,99302,9929.81
23,99006,9899.64
24,99100,8806.97
25,98632,9862.81
26,98844,9883.50
27,99499,8845.41
28,100563,10055.59
29,99874,9986.60
30,99616,8823.89
