run,time_sec,events_per_sec
1,10.0002s,1576.92
2,10.0002s,1565.42
3,10.0005s,1564.89
4,10.0005s,1575.37
5,10.0003s,1582.40
6,10.0006s,1577.26
7,10.0002s,1585.33
8,10.0005s,1613.67
9,10.0005s,1593.98
10,10.0006s,1575.26
11,10.0006s,1597.35
12,10.0004s,1580.37
13,10.0007s,1573.75
14,10.0005s,1585.88
15,10.0002s,1581.81
16,10.0006s,1578.76
17,10.0005s,1599.57
18,10.0002s,1582.32
19,10.0005s,1574.15
20,10.0006s,1607.36
21,10.0001s,1581.53
22,10.0001s,1585.24
23,10.0003s,1594.12
24,10.0003s,1567.51
25,10.0006s,1575.25
26,10.0004s,1580.98
27,10.0006s,1580.46
28,10.0005s,1578.78
29,10.0002s,1595.81
30,10.0007s,1587.64
