run,time_sec,events_per_sec
1,10.0006s,1560.07
2,10.0005s,1591.07
3,10.0004s,1600.80
4,10.0001s,1592.04
5,10.0004s,1594.47
6,10.0001s,1581.94
7,10.0002s,1582.29
8,10.0004s,1584.97
9,10.0006s,1586.07
10,10.0006s,1582.87
11,10.0007s,1585.05
12,10.0006s,1586.96
13,10.0005s,1590.67
14,10.0001s,1589.94
15,10.0001s,1582.54
16,10.0003s,1578.42
17,10.0004s,1583.79
18,10.0003s,1582.91
19,10.0005s,1586.18
20,10.0001s,1573.86
21,10.0005s,1581.08
22,10.0003s,1589.22
23,10.0003s,1586.80
24,10.0005s,1584.68
25,10.0007s,1587.66
26,10.0001s,1584.32
27,10.0006s,1577.57
28,10.0005s,1574.17
29,10.0005s,1586.37
30,10.0004s,1585.10
